Date,Close,High,Low,Open,Volume,ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,RTX,RTX,RTX,RTX,RTX,,CLS,CLS,CLS,CLS,CLS,VRT,VRT,VRT,VRT,VRT,CRDO,CRDO,CRDO,CRDO,CRDO,ESE,ESE,ESE,ESE,ESE,FIG,FIG,FIG,FIG,FIG,OUST,OUST,OUST,OUST,OUST
2025-04-09,126.29800415039062,126.78970395321328,116.20832959844533,117.04421776269511,6747400.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10,124.96057891845703,127.14371958920093,121.71535744390998,124.80323889389797,6457800.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11,126.13081359863281,127.17322966605552,122.92493665270503,124.06568366615863,3654100.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-14,126.99620819091797,127.79275936848869,126.1504840382719,127.10438273388962,4099900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15,126.50450897216797,127.79275989482754,126.1111551809156,126.36683364468111,6315600.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-16,127.1043930053711,128.03861958535776,126.30784176342996,127.75344031565143,5382800.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-17,126.75035858154297,128.33363234711763,125.58011079757667,127.21255753832773,5228300.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-21,124.0263442993164,126.59301002263878,122.6594196313652,126.36683234526869,6397400.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-22,111.8616943359375,115.24459105343608,110.760284183027,112.62874475380221,17094400.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23,118.28329467773438,120.58445348733272,115.33309607751389,115.43143453030596,10456300.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24,119.94523620605469,120.03373855825552,117.52607437691086,118.0374388071374,4512800.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25,123.14128875732422,123.41663942173065,120.37793851457594,120.69262606000372,6205900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-28,122.72825622558594,124.21318401567046,121.62684612386604,123.83949491998064,5460100.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-29,123.642822265625,123.94767370932674,122.32506303601679,122.72826043177704,4313600.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30,124.03617095947266,124.46886912195019,121.54817153071171,123.70181874500724,5674100.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01,125.29493713378906,125.96364160843453,123.3478027722706,124.30170151235706,4820900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-02,128.04847717285156,128.82535630694434,125.72764585703007,127.23225364902686,5002200.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05,126.4553451538086,127.9009436998423,126.15049369269023,127.84194212743054,3293300.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06,126.0324935913086,126.5340219744059,124.8032441180916,125.46212003507749,2596100.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07,125.38343048095703,126.67168136580537,125.26541984539945,125.68828191105275,4029200.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08,126.53401947021484,128.36314325038165,125.3834437867128,125.86530746990931,4748300.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-09,126.53401947021484,126.71103919370786,123.93784523438002,126.71103919370786,4857600.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12,128.39263916015625,128.62866044735364,125.27526447683418,127.7337632812351,4686400.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-13,128.54998779296875,129.84806737002836,128.2943093170822,128.82533846099614,4334700.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-14,128.6188201904297,129.66123631518812,126.96671615358012,129.3072118779366,4843600.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-15,133.27029418945312,133.39812591088926,129.56287415811784,129.74972244962186,6772200.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-16,133.23097229003906,134.13569811244122,132.2475726997558,133.45716499975478,4776000.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-19,134.9224090576172,135.43378100164975,132.94578145494174,133.62432951413223,5180800.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-20,134.90274047851562,135.46328541389607,133.63416168576484,134.12586145133253,4998600.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-21,132.70974731445312,136.51551323304844,132.611416376791,136.20081821936768,5514900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22,131.84437561035156,132.73925773382524,131.29365929642552,132.3655761348034,3790900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-23,130.81643676757812,131.8443794172195,129.79837281617046,130.32223038021587,5510000.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-27,132.63511657714844,133.33688122205322,130.61874601115014,132.93164343473435,5160800.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-28,131.31063842773438,133.4357197840959,129.38322152082335,133.07989059472573,5426300.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-29,133.23805236816406,133.52468545250713,130.3716461148191,130.58909814376193,3634700.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-30,134.8985595703125,135.70906521463453,132.81300819326574,133.43571301356286,8195100.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-02,135.8672332763672,135.9265356326259,133.86074137039014,134.83927549460708,3946200.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-03,135.90673828125,137.18178395341744,134.84912951491097,135.8177847631411,3493900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-04,136.944580078125,137.2509855963624,136.05499961532743,136.5590997355069,3200400.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05,137.45855712890625,137.7056602961773,136.63817280372862,137.58704052014053,3510800.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-06,137.48822021484375,139.02024791907994,136.7172594727179,138.0614863404395,4511000.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09,139.346435546875,139.45516156067129,136.67772394149156,137.5870619287046,7104300.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10,136.91493225097656,139.48479623725476,136.34165107168857,138.87198518580044,6303500.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-11,140.16680908203125,140.21623273572226,133.86073093699702,137.38937167918775,6370300.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12,139.346435546875,140.41392320542494,138.50629369661542,138.6446708885395,4664400.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13,144.00184631347656,144.32802430896265,140.67090039536131,142.35119894139646,11765200.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-16,144.76292419433594,145.36585651761064,143.23088156155788,144.80245406449384,7986100.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17,146.759521484375,147.4514073957476,144.1204612411513,145.72168507632526,7251800.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-18,144.1797637939453,147.53048243123922,143.9722055612355,146.83859651890364,7116900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-20,144.9408416748047,146.43333946296673,142.23258537348326,144.16988095435212,9220600.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23,144.12046813964844,145.36587792171383,143.4187034966589,145.11877472139705,6548500.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24,140.2063446044922,142.37095570349612,138.8818601518022,141.8372194926961,8242100.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-25,139.74179077148438,140.76973333178478,138.8423316049836,140.63135615862933,10395000.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-26,141.01683044433594,141.73836745321404,139.62316499331297,140.26564226262585,5407500.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-27,142.98379516601562,143.03321882099434,140.28541744039447,140.42380970712765,9173900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,144.3280487060547,144.71352911461216,143.31986337521855,143.79429732067777,5939500.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01,142.5192413330078,144.11058651400415,141.00697098434458,143.96231554763628,4819500.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-02,142.8454132080078,143.0430927393351,141.303491748881,141.9953776495172,3253300.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,144.0611572265625,144.6937407785148,142.69714281561036,142.81576260046373,1888700.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-07,144.2291717529297,145.0792072332921,143.4483323972617,144.56522843349666,4532500.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-08,143.2308807373047,144.30824690617555,141.32323648009339,143.9622964458687,4331300.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-09,144.4861602783203,144.80245957955134,143.0529648893216,144.04137758269738,2666200.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-10,144.70361328125,144.84199045600332,143.34949270816531,144.41698023425417,4130900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-11,145.1681671142578,145.36586171806056,143.81404655369738,144.48615994428832,3468800.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-14,147.5502471923828,147.8368953223469,145.37574226077746,146.17635413760652,4461000.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-15,146.9571990966797,149.0032207099586,146.6804447357504,148.06423162237837,4530500.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16,148.429931640625,148.6177324645802,146.54205978568038,147.12523473427308,3361700.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17,149.74452209472656,150.22884974091562,148.44970388775047,148.8154117557414,4326500.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-18,149.74452209472656,151.07888525509563,149.3293905759848,150.05092761460875,5928600.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-21,149.8038330078125,151.6126301384493,149.30962663600948,150.21896455028923,7116000.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22,147.4415283203125,148.52878837967327,141.89653218153586,143.79428285443512,10722700.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23,154.6767120361328,154.77554425897847,147.38222133376073,148.26190805158757,8667100.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24,153.4214324951172,155.41803052816678,153.35223636135657,154.43949644915142,4865300.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-25,155.06219482421875,155.50697753894875,152.4725432005805,153.41154736521005,4728200.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-28,154.26158142089844,155.50697602642552,153.8266774082435,155.3290538930752,4022900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-29,155.2993927001953,156.95004003667347,154.51855333291968,155.90232502757792,4341800.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30,156.5645751953125,156.89075321604219,154.6075221529161,155.62558608944434,3998700.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31,155.7442169189453,156.39655792467494,154.93371115869954,156.27795321126644,4796000.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-01,154.99301147460938,155.65524625239198,151.9684706666537,154.4790325866353,4420700.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-04,155.556396484375,156.5744603649171,154.9238129558636,155.30929330789428,3961900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-05,154.5185546875,156.20873190922225,153.95515222560562,155.44766501147853,4993900.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06,153.94529724121094,155.90235040854532,153.83657122736,154.83486274945852,4112100.0,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
